address,neighborhood,building_name
2451 thorndyke ave w,Outside Villages,APARTMENT
800 jefferson st,First Hill,JEFFERSON TERRACE
423 terry ave,First Hill,THE BROADMORE APTS
1404 e yesler way,23rd & Union-Jackson,14th & Yesler Mixed Use Development
1741 s hanford st,Outside Villages,APT
100 6th ave s,Chinatown-International District,TICINO APARTMENTS
5952 martin luther king jr way s,Othello,M.L. KING WAY APTS
7408 40th ave s,Othello,12 plex
512 newton st,Outside Villages,LAKEVIEW TERRACE APTS
1321 queen anne ave n,Upper Queen Anne,QUEEN VISTA APTS
300 11th ave,12th Avenue,ALDERVIEW APTS
1207 nw 92nd st,Crown Hill,IMPERIAL CROWN MANOR APT
637 3rd ave w,Uptown,LA CHARME
400 w mercer st,Uptown,FRANCONIA APT
710 2nd ave w,Uptown,VI APT
1804 e spruce st,23rd & Union-Jackson,APT
5443 ballard ave nw,Ballard,PRINCESS APARTMENT
1903 nw market st,Ballard,Pac Med and apts
8745 greenwood ave n,Greenwood-Phinney Ridge,COOPER SQUARE CONDOMINIUM
4213 stone way n,Wallingford,WATERMARKE AT WALLINGFORD APTS
831 w nickerson st,Outside Villages,LYNN VISTA
7500 seward park ave s,Outside Villages,CAROLINE KLINE GALLAND HOME
1400 s main st,23rd & Union-Jackson,WISTERIA VIEW MANOR
6285 airport way s,Outside Villages,BOEING FIELD APTS
412 w mercer st,Uptown,13 UNIT APT
13333 greenwood ave n,Outside Villages,HEALTH AND REHAB OF NORTH SEATTLE
7900 ashworth ave n,Outside Villages,GREENLAKE CO-OP ASSN
2021 4th ave,Belltown,STRATFORD ON FOURTH
301 w raye st,Outside Villages,RODGER'S PARK TOWNHOMES
1366 31st ave s,Outside Villages,CONDO -  BLDG DEMOLISHED-VACANT LAND
2839 nw 56th st,Ballard,FAIRHAVEN APTS
2000 1st ave,Belltown,ONE PACIFIC TOWERS CONDOMINIUM
4500 1st ave nw,Outside Villages,WESTWIND APTS
6895 holly park dr s,Othello,OTHELLO STATION NORTH CONDOMINIUM
1417 s henderson st,Greater Duwamish,KEY PARK APARTMENTS
1154 n 92nd st,Aurora-Licton Springs,92ND STREET
8500 linden ave n,Aurora-Licton Springs,THE LINDEN
3940 s americus st,Columbia City,AMERICUS THE CONDOMINIUM
5333 15th ave s,Outside Villages,Apartment
19 w thomas st,Uptown,THE DUKE APARTMENT
1100 queen anne ave n,Outside Villages,THE MELBOURNE APTS
510 4th ave w,Uptown,FIVE TEN PLACE
215 w mercer st,Uptown,LORETO APARTMENTS
1307 n 43rd st,Wallingford,PICKERING PLACE APTS + OFFICE
4123 california ave sw,West Seattle Junction,OSBORN CONDOMINIUM
3426 wallingford ave n,Outside Villages,WALLINGFORD ON THE AVE APTS/ GAS WORKS PARK CONDO
3606 woodland park ave n,Fremont,COLLAGE APARTMENTS
515 1st ave w,Uptown,515 FIRST AVENUE WEST CONDOMINIUM
119 19th ave,23rd & Union-Jackson,CHATEAU APT
6070 lanham pl sw,Outside Villages,Highpoint Community
108 5th ave s,Chinatown-International District,TOBIRA
3936 s kenyon st,Othello,Kenyon House
5631 california ave sw,Outside Villages,EXECUTIVE HOUSE
4306 sw juneau st,Outside Villages,JUNEAU APTS
3250 sw avalon way,West Seattle Junction,AVALON WEST
1102 8th ave,First Hill,LOWELL APT'S
1100 s atlantic st,Outside Villages,SPINNAKER THE 1ST AMD CONDOMINIUM
9433 27th ave sw,Westwood-Highland Park,WESTWOOD HEIGHTS
3057 63rd ave sw,Outside Villages,THE FLOWER GARDEN
2203 california ave sw,Admiral,ADMIRAL APTS 30 UNITS
6790 murray ave sw,Outside Villages,Tracy Ann Apts. - North
8801 9th ave sw,Outside Villages,SHERWOOD ARMS
4301 sw hanford st,Admiral,DONNA J APTS
4550 s henderson st,Rainier Beach,SOUTH SHORE APARTMENTS
6501 shaffer ave s,Othello,Holly Park Redevelopment
2350 beacon ave s,North Beacon Hill,WESTWARD APTS
619 3rd ave,Commercial Core,ST CHARLES HOTEL APTS
4444 44th ave sw,West Seattle Junction,DIPLOMAT CONDOMINIUM
2731 60th ave sw,Outside Villages,12 UNIT APT
3201 sw avalon way,West Seattle Junction,GOLDEN TEE APTS
914 e terrace st,12th Avenue,TERRACE VIEW APTS
151 11th ave,12th Avenue,ABBOTTSFORD  APTS
3256 sw avalon way,West Seattle Junction,AVALON CONDOMINIUM
4120 beach dr sw,Outside Villages,MAR VISTA APARTMENTS
9200 2nd ave sw,Outside Villages,ARROWHEAD GARDENS - North
4717 36th ave s,Columbia City,Columbia Park
1414 s king st,23rd & Union-Jackson,The Sinaloa
1617 s lane st,23rd & Union-Jackson,10 APARTMENT UNITS
5212 california ave sw,Outside Villages,SUNSET MANOR
4700 35th ave s,Columbia City,COLUMBIA ARMS APTS
4228 sw dawson st,West Seattle Junction,APTS
9200 15th ave sw,Westwood-Highland Park,10 UNIT APT
201 yesler way,Pioneer Square,QUINTESSA APTS
909 sw holden st,Outside Villages,LITTLE VILLA
5446 fauntleroy way sw,Outside Villages,FAIRMOUNT APTS
4830 fauntleroy way sw,West Seattle Junction,GARDEN TERRACE APTS
4700 sw admiral way,Outside Villages,LIFE CARE CENTER WEST SEATTLE
4550 38th ave sw,West Seattle Junction,Link Apartments
4727 42nd ave sw,West Seattle Junction,Mural Apartments - new const.
609 yesler way,Chinatown-International District,Washington Terrace Apts
1420 western ave,Commercial Core,ROSS MANOR
1119 1st ave,Commercial Core,COLONIAL/GRAND PACIFIC CONDOMINIUM
7216 california ave sw,Outside Villages,12 UNIT APARTMENT
4408 delridge way sw,Outside Villages,Youngstown Cultural Arts Center/Cooper Artist's Lo
7401 fauntleroy way sw,Outside Villages,15 UNIT APARTMENT
3625 beach dr sw,Outside Villages,BEACHCOMBER APT
1530 3rd ave,Commercial Core,GILMORE THE
4529 44th ave sw,West Seattle Junction,MAISON ROYALE
2707 59th ave sw,Outside Villages,Duplexes
6321 sw graham st,Outside Villages,
5656 california ave sw,Outside Villages,GREEN ACRES APT
6000 17th ave sw,Outside Villages,DUWAMISH COHOUSING CONDOMINIUM
2331 42nd ave sw,Admiral,ADMIRAL CONDOMINIUM
3710 california ave sw,Outside Villages,JUSTELL APTS
4111 whitman ave n,Wallingford,SAGE
6525 california ave sw,Morgan Junction,Ivy Court
7130 california ave sw,Outside Villages,SHELL E APARTMENTS
700 crockett st,Outside Villages,700 CROCKETT PLACE CONDOMINIUM
3318 30th ave sw,Outside Villages,HARBOR PLACE CONDOMINIUM
2700 alki ave sw,Outside Villages,ALKI SANDS APT
2730 westlake ave n,Outside Villages,DIAMOND MARINA
2205 7th ave,Denny Triangle,COLLEGE DORMS FOR CORNISH COLLEGE (OLD DAYS INN MO
2716 elliott ave,Belltown,BELLORA CONDOMINIUM
6300 29th ave sw,Outside Villages,HIGH POINT
4321 sw genesee st,West Seattle Junction,THE DEERING APARTMENTS
1513 1st ave,Commercial Core,SANITARY MARKET
909 6th ave n,Uptown,POOLSIDE APARTMENTS
9514 stone ave n,Aurora-Licton Springs,Oak View Apartment
2422 dexter ave n,Outside Villages,SKYLINE TERRACE APTS
938 n 35th st,Fremont,HUNTINGTON COURT TOWNHOUSE
6525 24th ave nw,Outside Villages,10 UNIT APT
5000 california ave sw,West Seattle Junction,ONE WEST CONDOMINIUM
2000 alaskan way,Commercial Core,WATERFRONT LANDINGS CONDOMINIUM
5900 sw admiral way,Outside Villages,12 UNIT APT
627 4th ave w,Uptown,CHARMAINE
600 elliott ave w,Uptown,Canvas Apartments
8849 35th ave sw,Outside Villages,NEDRA APTS
3501 sw holden st,Outside Villages,HOLDEN MANOR CONDOMINIUM
3435 california ave sw,Outside Villages,ADMIRAL PLAZA CONDOMINIUM
4435 phinney ave n,Outside Villages,DE SOTO ARMS
