address,neighborhood,building_name
3516 ne 75th st,Outside Villages,VIEW RIDGE APARTMENTS
400 boylston ave e,Capitol Hill,PARK LANE PLACE CONDOMINIUM
515 bellevue ave e,Capitol Hill,JAN TUN APTS
4127 12th ave ne,University District Northwest,LOCKE APARTMENTS
3919 latona ave ne,Outside Villages,LANDINGS LAKE UNION CONDOMINIUM
610 e harrison st,Capitol Hill,APT
5200 roosevelt way ne,University District Northwest,MIX USE APT
520 s cloverdale st,South Park,SOUTH PARK MANOR
1902 2nd ave,Belltown,JOSEPHINUM
2100 25th ave s,North Rainier,CENTER PARK APTS
5001 s thistle st,Rainier Beach,EDEN ROC APTS
416 e roy st,Capitol Hill,BAMBERG CONDOMINIUM
2030 western ave,Commercial Core,MARKET COURT CONDOMINIUM
1221 minor ave,First Hill,SUTTON PLACE CONDOMINIUM
1215 seneca st,First Hill,TUSCANY APTS
10306 meridian ave n,Northgate,The Luxe at Meridian
422 1st ave w,Uptown,First and Republican Apts
,Othello,"Two SFRs, Three 4-PLEXES"
518 lakeside ave s,Outside Villages,HOLLY SHORES(0005) CONDOMINIUM
203 belmont ave e,Capitol Hill,SEALTH VISTA
2301 ne blakeley st,Ravenna,BLAKELEY PLACE CONDOMINIUM
13716 15th ave ne,Outside Villages,JACKSON PARK APTS 36-UNITS
420 belmont ave e,Capitol Hill,THE EVERSEN APT
523 broadway e,Capitol Hill,Joule Apartments
2500 ne 65th st,Outside Villages,CORNER MANOR
11011 greenwood ave n,Outside Villages,14 UNIT APT
515 maynard ave s,Chinatown-International District,FREEDMAN APARTMENTS & Purple Dot Cafe
705 s weller st,Chinatown-International District,705 S. WELLER APTS + RETAIL
7307 sand point way ne,Outside Villages,MAGNUSON POINTE CONDOMINIUM HOMES
202 19th ave e,Madison-Miller,HONEYSUCKLE APTS
9020 35th ave sw,Outside Villages,ALISON APTS
1815 13th ave s,North Beacon Hill,22 UNIT
2615 1st ave,Belltown,CEDARS AT BELLTOWN
2327 2nd ave,Belltown,CITY HOSTEL SEATTLE (FORMER WILLIAM TELL APTS)
2007 eastlake ave e,Eastlake,CLARE ANN APT #2
721 nob hill ave n,Outside Villages,FAIRLANE APARTMENTS
124 n 103rd st,Outside Villages,CIVETTA
901 ne 43rd st,University District Northwest,NOVELL
2000 w barrett st,Outside Villages,BARRETT CONDOMINIUM
3040 nw market st,Ballard,LOCKHAVEN APTS
1512 boylston ave,Pike/Pine,Starbird Apts
133 queen anne ave n,Uptown,SELANO CONDOMINIUM
621 1st ave w,Uptown,QUEEN ANNE ARMS APTS
5343 tallman ave nw,Ballard,Ballard Tallman
1017 minor ave,First Hill,GAINSBOROUGH CONDOMINIUM
1735 dexter ave n,Outside Villages,SUMMIT BLDG B
8541 phinney ave n,Greenwood-Phinney Ridge,JAMES BON APARTMENTS
1404 3rd ave n,Outside Villages,TOWER APTS
12000 15th ave ne,Outside Villages,Apts - mixed use
11532 15th ave ne,Outside Villages,PINEHURST LANE CONDOMINIUM
3200 ne 140th st,Outside Villages,PARKWOOD APT'S - 17 UNITS
219 22nd ave s,23rd & Union-Jackson,CENTRAL ELEMENT APARTMENTS
4727 beacon ave s,Outside Villages,VALMARK APT
801 9th ave,First Hill,Frederic Ozanam House
301 26th ave s,23rd & Union-Jackson,APT BLDG
110 nw 104th st,Outside Villages,VIEWLANDS APTS
620 n 130th st,Bitter Lake Village,SEA HOUSING AUTHORITY APT BLDG
514 19th ave e,Madison-Miller,Capitol Court
1500 e cherry st,Outside Villages,Gregory Lane Apts
1705 s stevens st,Outside Villages,The Victor Apts
214 13th ave e,Capitol Hill,ROSEMONT APARTMENTS
301 14th ave e,Capitol Hill,CAPITOL CREST APTS
14363 30th ave ne,Outside Villages,LAKE CITY TOWNHOUSES CONDOMINIUM
1605 e olive st,Capitol Hill,THE MARQUIS APARTMENTS
1000 bellevue pl e,Capitol Hill,BELLEVUE PLACE CONDOMINIUM
4029 7th ave ne,University District Northwest,Apartment
1501 lake washington blvd,Outside Villages,LAKE WASHINGTON COTTAGES CONDOMINIUM
1600 15th ave,Capitol Hill,COURTYARD ON CAPITOL HILL THE CONDOMINIUM
1753 nw 56th st,Ballard,MIXED USE APARTMENT
2357 w plymouth st,Outside Villages,PLYMOUTH COURT
